gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,76.035,1039,249,0,184,1222,273,1311,0,751
gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,94.118,17,1,0,1245,1261,2735,2719,0.11,26.5
gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,100,11,0,0,1528,1538,441,431,4.9,21.1
gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,100,11,0,0,1565,1575,698,708,4.9,21.1
gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,100,11,0,0,261,271,1685,1675,4.9,21.1
gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,100,11,0,0,1323,1333,3331,3321,4.9,21.1
gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,93.75,16,0,1,1106,1121,3440,3426,4.9,21.1
gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,100,11,0,0,1855,1865,3461,3451,4.9,21.1
gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,100,11,0,0,1180,1190,3724,3714,4.9,21.1
gi|91718898|ref|NM_002746.2|,gi|75709178|ref|NM_002745.4|,NM_002746.2,NM_002745.4,100,11,0,0,644,654,5061,5071,4.9,21.1
